RATING,TITLE,CREDIT,BOXOFFICE,YEAR
78,The Wolf of Wall Street,Producer     Jordan Belfort,91.4,2013
48,The Great Gatsby,Jay Gatsby,144.9,2013
86,Django Unchained,Calvin Candie,162.9,2012
42,J. Edgar,J. Edgar Hoover,37.4,2011
86,Inception,Cobb,292.6,2010
87,Hubble 3D,Narrator,51.8,2010
68,Shutter Island,Teddy Daniels,125.1,2010
67,Revolutionary Road,Frank,22.9,2008
55,Body of Lies,Roger Ferris,39.4,2008
63,Blood Diamond,Danny Archer,57.4,2006
91,The Departed,Billy Costigan,132.4,2006
86,The Aviator,Howard Hughes     Executive Producer    Producer,102.6,2004
95,Catch Me If You Can,Frank W. Abagnale Jr.,164.5,2002
74,Gangs of New York,Amsterdam Vallon,77.7,2002
